config,val_mae_mean,train_mae_mean,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R225_iter1500_lr0.150_l20.9,1284.1514655725991,1150.6151007657859,20,31,1500,10.0,0.15,0.9210526315789473,255,42
R124_iter1500_lr0.128_l21.1,1284.6392436837739,1158.4690645099445,30,31,1500,20.0,0.12789473684210526,1.131578947368421,255,42
R189_iter1000_lr0.109_l21.0,1285.0258479920044,1154.8858995555897,20,31,1000,10.0,0.1094736842105263,1.026315789473684,255,42
R67_iter1500_lr0.084_l21.4,1285.034608249021,1159.5637432349736,20,31,1500,,0.08368421052631579,1.4473684210526314,255,42
R184_iter1500_lr0.121_l20.5,1285.1205157112186,1152.679868610432,20,31,1500,10.0,0.12052631578947368,0.5,255,42
R230_iter800_lr0.113_l20.6,1285.1613359971673,1157.9238495797085,30,31,800,25.0,0.1131578947368421,0.6052631578947368,255,42
R171_iter1000_lr0.087_l20.8,1286.5125307833455,1152.5086222498855,40,127,1000,10.0,0.08736842105263158,0.8157894736842105,255,42
R94_iter1000_lr0.117_l21.7,1287.2447586372887,1157.339367798121,40,63,1000,10.0,0.11684210526315789,1.6578947368421053,255,42
R12_iter1500_lr0.132_l21.6,1287.8407927146325,1167.2537302464193,40,31,1500,20.0,0.13157894736842105,1.5526315789473684,255,42
R131_iter800_lr0.102_l22.5,1288.0273698418964,1170.4094316631133,30,31,800,25.0,0.10210526315789473,2.5,255,42
R217_iter800_lr0.150_l22.2,1288.4471831629314,1145.0115589908908,40,63,800,10.0,0.15,2.1842105263157894,255,42
R245_iter1500_lr0.080_l20.5,1288.4488716254518,1165.4179241858685,20,31,1500,10.0,0.08,0.5,255,42
R110_iter600_lr0.102_l22.4,1288.7647915795962,1157.9328241356106,40,63,600,10.0,0.10210526315789473,2.394736842105263,255,42
R72_iter800_lr0.143_l22.4,1289.3379174265724,1162.5394917635722,40,31,800,,0.14263157894736841,2.394736842105263,255,42
R134_iter1000_lr0.132_l20.6,1289.404787562602,1156.482974634347,20,31,1000,10.0,0.13157894736842105,0.6052631578947368,255,42
R229_iter1500_lr0.146_l22.5,1289.5693883418771,1168.2950605639612,30,31,1500,25.0,0.1463157894736842,2.5,255,42
R215_iter600_lr0.117_l21.1,1289.5778724528673,1170.4508547784299,40,31,600,25.0,0.11684210526315789,1.131578947368421,255,42
R204_iter1000_lr0.087_l21.1,1289.8209457784428,1171.2612944312023,30,31,1000,20.0,0.08736842105263158,1.131578947368421,255,42
R128_iter1000_lr0.084_l22.2,1289.8641937373914,1168.4247583486936,20,31,1000,25.0,0.08368421052631579,2.1842105263157894,255,42
R182_iter600_lr0.095_l21.8,1289.8687254836218,1150.6037726955246,40,127,600,10.0,0.09473684210526316,1.763157894736842,255,42
R199_iter1000_lr0.117_l21.6,1289.9442719154454,1170.9200570160942,30,31,1000,25.0,0.11684210526315789,1.5526315789473684,255,42
R178_iter1500_lr0.087_l22.5,1290.0318926903633,1163.534996879469,40,63,1500,10.0,0.08736842105263158,2.5,255,42
R61_iter600_lr0.124_l20.8,1290.2711434310982,1170.119815566626,30,31,600,,0.12421052631578947,0.8157894736842105,255,42
R71_iter600_lr0.150_l22.0,1290.4849595180353,1162.4045786956049,40,31,600,25.0,0.15,1.9736842105263157,255,42
R109_iter1500_lr0.084_l20.5,1290.5291429299223,1170.4722325356986,30,31,1500,15.0,0.08368421052631579,0.5,255,42
R112_iter800_lr0.113_l21.8,1290.5765014254944,1180.0456827317967,40,31,800,25.0,0.1131578947368421,1.763157894736842,255,42
R49_iter1500_lr0.098_l21.0,1291.1139007098168,1171.680377717037,40,31,1500,,0.09842105263157895,1.026315789473684,255,42
R244_iter1000_lr0.121_l21.0,1291.302467393975,1171.8144934716192,30,31,1000,10.0,0.12052631578947368,1.026315789473684,255,42
R156_iter1500_lr0.132_l22.1,1291.3134297828651,1172.0948763706817,40,31,1500,10.0,0.13157894736842105,2.0789473684210527,255,42
R223_iter1000_lr0.113_l22.5,1291.355332592545,1153.1048477977683,40,127,1000,10.0,0.1131578947368421,2.5,255,42
R76_iter600_lr0.113_l20.6,1291.6319352581581,1169.192417644967,20,31,600,25.0,0.1131578947368421,0.6052631578947368,255,42
R226_iter600_lr0.098_l21.1,1291.67741591363,1177.040876481949,30,31,600,,0.09842105263157895,1.131578947368421,255,42
R4_iter1500_lr0.121_l22.2,1292.020594474227,1174.1096526744561,30,31,1500,25.0,0.12052631578947368,2.1842105263157894,255,42
